student_id,excel_skill,sql_skill,powerbi_skill,communication_skill
1170,2,2,1,1
1171,1,1,2,3
1172,3,1,1,2
1173,3,2,3,2
1174,1,2,3,1
1175,3,3,1,2
1176,3,2,3,3
1177,2,2,3,3
1178,3,3,1,3
1179,3,1,2,2
1180,3,2,1,2
1181,3,1,1,2
1182,2,1,1,3
1183,3,2,3,1
1184,3,1,2,3
1185,3,1,3,1
1186,3,3,3,1
1187,2,3,1,3
1188,2,3,3,3
1189,2,1,2,2
1190,3,1,1,1
1191,1,3,2,1
1192,1,2,2,2
1193,2,3,3,1
1194,2,2,3,1
1195,2,2,3,2
1196,2,1,1,3
1197,2,3,3,2
1198,1,2,2,2
1199,2,3,2,3
1200,1,1,1,3
1201,1,1,3,2
1202,3,1,2,3
1203,1,2,2,2
1204,2,3,2,3
1205,2,2,2,2
1206,2,3,1,2
1207,3,2,2,1
1208,1,1,2,1
1209,3,1,2,1
1210,2,1,2,1
1211,2,2,2,3
1212,2,3,3,3
1213,1,1,1,2
1214,2,1,1,3
1215,2,2,3,1
1216,3,1,2,2
1217,1,1,3,3
1218,1,2,2,1
1219,3,2,2,1
1220,2,1,2,2
1221,1,3,1,1
1222,2,3,3,1
1223,3,3,2,1
1224,2,3,3,3
1225,2,3,2,2
1226,1,3,1,2
1227,1,2,3,3
1228,3,3,3,2
1229,3,2,1,3
1230,3,2,1,3
1231,2,2,1,3
1232,2,1,2,3
1233,1,3,2,2
1234,2,3,3,2
1235,1,3,2,3
1236,2,1,1,3
1237,3,2,3,2
1238,1,3,2,3
1239,3,1,1,3
1240,3,1,1,3
1241,3,3,2,3
1242,3,2,3,2
1243,2,1,2,2
1244,2,2,2,1
1245,3,2,1,1
1246,3,3,3,1
1247,3,3,2,1
1248,2,3,3,1
1249,2,2,3,1
1250,1,2,1,1
1251,1,1,1,3
1252,1,1,1,1
1253,1,1,2,1
1254,2,3,2,1
1255,1,2,3,2
1256,3,2,2,3
1257,2,2,1,1
1258,3,1,2,3
1259,2,3,3,1
1260,2,3,2,2
1261,3,2,2,3
1262,3,2,3,3
1263,2,2,3,1
1264,1,2,2,1
1265,2,1,1,2
1266,1,1,1,2
1267,1,2,1,1
1268,1,1,1,2
1269,3,2,2,2
1270,1,2,2,1
1271,1,2,3,1
1272,1,1,3,1
1273,2,2,2,1
1274,2,2,1,3
1275,1,3,3,3
1276,3,3,3,2
1277,2,1,2,2
1278,3,3,2,2
1279,1,1,1,1
1280,1,2,2,2
1281,1,3,3,3
1282,1,1,3,1
1283,1,2,1,1
1284,2,3,1,2
1285,1,3,1,3
1286,2,1,2,2
1287,2,2,2,1
1288,2,3,1,2
1289,2,2,3,1
1290,2,2,3,1
1291,2,3,2,3
1292,3,2,3,3
1293,1,1,2,2
1294,2,3,3,2
1295,1,1,2,2
1296,1,3,2,3
1297,1,1,3,3
1298,2,2,3,3
1299,2,2,2,3
1300,1,1,3,3
1301,3,2,1,2
1302,2,1,2,1
1303,1,3,3,2
1304,1,3,3,2
1305,2,2,3,2
1306,2,2,1,3
1307,1,3,2,3
1308,1,2,1,3
1309,3,3,3,3
1310,1,3,1,3
1311,2,1,1,2
1312,2,1,2,1
1313,1,3,2,3
1314,3,3,3,1
1315,1,1,1,3
1316,1,3,2,1
1317,2,3,1,2
1318,3,3,1,3
1319,1,2,2,2
1320,3,1,2,3
1321,3,3,2,1
1322,1,3,3,2
1323,2,2,2,3
1324,2,2,1,2
1325,3,3,2,2
1326,2,1,2,1
1327,2,2,3,2
1328,1,1,3,3
1329,3,2,1,3
1330,3,2,3,2
1331,1,1,1,2
1332,3,3,3,3
1333,3,1,1,2
1334,3,3,1,1
1335,1,3,3,1
1336,2,2,1,2
1337,2,2,3,3
1338,3,2,2,1
1339,2,3,2,2
1340,1,3,3,2
1341,2,1,2,2
1342,1,1,2,1
1343,3,1,3,3
1344,1,1,3,1
1345,1,3,3,3
1346,1,3,2,3
1347,3,1,1,2
1348,2,1,3,3
1349,2,3,3,3
1350,1,1,2,3
1351,1,2,1,2
1352,2,3,1,1
1353,3,2,1,2
1354,1,2,3,3
1355,2,3,2,3
1356,1,3,2,2
1357,1,2,2,2
1358,1,1,2,3
1359,3,1,2,3
1360,3,3,1,3
1361,2,2,1,2
1362,3,2,1,2
1363,3,3,1,1
1364,1,3,3,3
1365,2,2,1,1
1366,1,2,1,2
1367,1,3,3,3
1368,1,2,3,3
1369,2,1,3,1
1370,1,3,3,3
1371,3,1,3,2
1372,3,3,3,1
1373,2,3,3,1
1374,3,2,3,1
1375,1,1,1,1
1376,1,2,2,3
1377,2,1,2,2
1378,3,2,1,1
1379,1,3,1,2
1380,3,1,1,2
1381,3,1,1,2
1382,1,3,2,1
1383,1,3,2,1
1384,2,2,2,3
1385,1,1,3,1
1386,2,2,2,1
1387,3,1,1,2
1388,3,1,2,2
1389,2,2,3,2
1390,2,3,3,3
1391,3,3,2,1
1392,1,2,1,1
1393,1,3,3,3
1394,3,2,2,1
1395,2,3,1,1
1396,2,2,3,2
1397,3,2,1,2
1398,1,2,1,1
1399,2,2,1,3
1400,1,3,3,1
1401,2,1,1,1
1402,3,3,3,3
1403,2,1,1,1
1404,3,2,2,2
1405,2,1,1,2
1406,3,1,1,2
1407,3,3,1,2
1408,2,2,1,1
1409,1,2,2,3
1410,3,2,3,2
1411,1,1,1,1
1412,3,2,1,3
1413,2,3,1,3
1414,2,1,2,3
1415,3,1,2,3
1416,2,1,1,1
1417,2,1,1,3
1418,3,3,1,1
1419,3,1,1,2
1420,1,1,3,2
1421,1,3,3,1
1422,3,2,3,1
1423,1,3,1,3
1424,2,2,2,3
1425,2,1,1,1
1426,2,1,2,3
1427,3,1,1,1
1428,2,3,1,3
1429,2,2,2,1
1430,1,2,3,1
1431,3,3,1,3
1432,3,3,1,1
1433,2,2,1,1
1434,3,3,3,2
1435,1,1,1,1
1436,1,2,3,3
1437,3,3,1,2
1438,2,2,1,3
1439,3,3,3,2
1440,1,2,2,3
1441,2,2,1,2
1442,3,2,1,3
1443,1,1,1,1
1444,3,1,3,1
1445,3,2,2,3
1446,2,3,3,2
1447,1,1,2,2
1448,3,3,2,1
1449,3,2,1,1
1450,2,3,3,1
1451,3,1,3,2
1452,1,3,3,2
1453,3,3,1,1
1454,2,2,3,1
1455,2,2,3,2
1456,2,3,1,2
1457,3,3,1,2
1458,2,2,3,3
1459,1,1,1,1
1460,1,1,3,1
1461,3,3,1,2
1462,3,2,3,2
1463,1,3,1,3
1464,1,2,2,2
1465,1,1,1,2
1466,1,3,3,3
1467,1,2,1,3
1468,1,3,3,1
1469,1,1,1,1
1470,2,1,1,3
1471,1,3,3,2
1472,1,3,3,1
1473,1,3,2,1
1474,3,2,2,2
1475,3,2,3,2
1476,2,3,3,2
1477,3,1,1,2
1478,2,3,2,3
1479,3,3,3,3
1480,3,1,1,2
1481,3,1,1,1
1482,3,2,2,2
1483,2,3,2,1
1484,1,3,2,1
1485,2,3,1,3
1486,1,3,3,3
1487,3,1,1,1
1488,3,3,2,1
1489,1,3,1,2
1490,1,3,2,2
1491,1,3,1,2
1492,3,2,2,1
1493,2,3,1,2
1494,1,1,3,1
1495,2,2,1,2
1496,3,3,2,1
1497,1,1,2,3
1498,2,2,3,3
1499,3,2,2,1
1500,3,3,3,3
1501,2,2,3,1
1502,2,3,1,3
1503,3,3,1,3
1504,1,2,2,3
1505,3,2,2,3
1506,2,2,1,2
1507,3,2,2,2
1508,1,2,2,2
1509,3,1,2,3
1510,1,1,3,3
1511,2,3,3,3
1512,1,3,2,2
1513,1,3,3,3
1514,3,2,2,3
1515,1,3,1,2
1516,1,3,3,2
1517,3,2,2,1
1518,1,1,2,2
1519,3,3,2,3
1520,2,2,1,3
1521,1,3,1,1
1522,1,1,2,3
1523,3,3,3,2
1524,3,1,2,2
1525,1,3,1,3
1526,3,2,1,1
1527,3,3,3,3
1528,1,3,2,3
1529,3,1,3,3
1530,3,2,1,3
1531,3,2,2,2
1532,2,1,2,3
1533,3,1,3,2
1534,1,3,3,3
1535,3,1,3,2
1536,3,2,1,1
1537,2,2,1,2
1538,3,1,1,1
1539,2,3,2,1
1540,3,2,2,3
1541,3,2,3,2
1542,2,2,3,2
1543,1,1,1,3
1544,1,3,3,3
1545,1,1,1,3
1546,3,3,1,1
1547,2,1,2,3
1548,3,3,1,3
1549,2,3,2,2
1550,3,1,1,1
1551,1,3,3,1
1552,3,2,2,3
1553,3,2,1,3
1554,2,1,1,2
1555,2,2,2,3
1556,2,3,3,2
1557,3,1,2,3
1558,2,2,2,1
1559,2,1,3,1
1560,2,3,3,1
1561,3,1,3,3
1562,2,2,2,3
1563,3,1,3,2
1564,2,1,2,1
1565,3,3,2,2
1566,1,1,2,3
1567,3,2,3,2
1568,3,2,3,3
1569,1,2,2,1
1570,2,1,2,3
1571,3,3,3,1
1572,3,2,2,2
1573,2,3,1,2
1574,2,3,2,3
1575,2,1,1,3
1576,2,1,1,2
1577,2,3,2,1
1578,1,3,2,1
1579,3,2,2,3
1580,1,1,1,1
1581,2,3,3,2
1582,3,2,1,2
1583,1,1,1,3
1584,3,1,1,3
1585,1,1,3,1
1586,2,2,1,2
1587,1,2,1,2
1588,2,2,2,1
1589,1,2,3,3
1590,1,2,1,3
1591,2,3,1,3
1592,1,3,2,3
1593,3,1,3,3
1594,2,2,3,3
1595,3,3,2,3
1596,3,3,1,3
1597,3,2,2,1
1598,3,2,3,2
1599,3,2,3,2
1600,1,1,1,2
1601,1,3,1,3
1602,1,2,3,3
1603,2,1,3,3
1604,2,2,2,3
1605,1,2,2,1
1606,1,2,1,3
1607,2,3,2,2
1608,2,2,3,3
1609,3,3,2,3
1610,1,3,2,1
1611,1,1,3,1
1612,2,1,2,2
1613,2,3,3,3
1614,1,3,2,3
1615,3,2,3,1
1616,2,2,3,2
1617,3,3,1,2
1618,1,3,1,1
1619,3,2,2,1
1620,1,2,1,3
1621,3,2,2,2
1622,2,2,2,2
1623,2,1,2,1
1624,1,2,2,1
1625,2,3,2,1
1626,3,3,2,2
1627,3,2,1,1
1628,3,2,1,2
1629,1,3,1,1
1630,3,3,3,2
1631,3,1,3,1
1632,2,3,2,2
1633,1,3,3,3
1634,3,3,1,3
1635,3,1,2,2
1636,2,3,2,3
1637,1,2,1,3
1638,1,3,2,3
1639,2,3,3,2
1640,2,1,2,2
1641,2,2,2,3
1642,2,3,1,2
1643,1,1,3,3
1644,1,3,3,2
1645,3,1,2,2
1646,3,1,3,3
1647,3,1,3,2
1648,1,2,3,3
1649,3,1,3,2
1650,3,3,3,1
1651,2,1,2,1
1652,1,3,2,3
1653,2,2,3,1
1654,3,2,1,2
1655,1,1,3,3
1656,2,3,1,2
1657,3,2,2,1
1658,3,2,2,3
1659,1,1,2,3
1660,2,1,3,3
1661,3,1,2,1
1662,3,3,3,3
1663,1,1,3,1
1664,1,1,2,2
1665,1,3,2,2
1666,3,3,2,1
1667,3,1,1,3
1668,2,3,1,1
1669,2,3,3,3
1670,3,1,1,2
1671,3,3,1,1
1672,3,1,2,3
1673,1,1,2,2
1674,1,3,3,1
1675,2,1,3,1
1676,2,2,1,2
1677,2,3,3,3
1678,1,3,2,2
1679,1,3,2,1
1680,2,1,1,3
1681,1,1,2,1
1682,2,3,2,1
1683,3,1,2,2
1684,3,2,2,2
1685,1,2,2,2
1686,3,2,1,2
1687,2,3,3,2
1688,2,1,1,2
1689,1,3,1,1
1690,2,2,1,1
1691,3,2,3,1
1692,2,2,2,3
1693,3,3,3,2
1694,1,3,1,1
1695,1,2,3,2
1696,2,2,1,2
1697,3,1,2,1
1698,1,1,1,1
1699,2,2,2,3
1700,2,1,1,2
1701,3,2,1,1
1702,3,2,3,1
1703,1,2,2,3
1704,3,1,1,2
1705,3,2,2,1
1706,3,2,3,1
1707,3,1,2,2
1708,1,2,3,2
1709,1,1,3,3
1710,1,2,2,2
1711,2,1,2,3
1712,2,3,1,2
1713,2,2,3,2
1714,3,1,2,2
1715,3,3,3,2
1716,1,2,1,3
1717,1,1,2,3
1718,3,1,2,1
1719,2,3,3,1
1720,2,2,2,3
1721,2,1,2,3
1722,2,3,3,2
1723,1,3,1,2
1724,2,1,2,3
1725,2,2,1,2
1726,3,3,3,1
1727,3,2,3,3
1728,1,1,1,2
1729,2,1,2,1
1730,1,1,2,3
1731,2,1,3,3
1732,3,3,3,3
1733,2,3,2,2
1734,3,2,1,2
1735,1,2,3,1
1736,2,1,2,2
1737,1,2,2,2
1738,1,1,2,3
1739,1,3,1,1
1740,3,3,2,3
1741,2,1,3,2
1742,1,1,1,3
1743,3,3,3,2
1744,1,2,1,3
1745,1,2,2,1
1746,3,1,2,1
1747,1,3,1,3
1748,1,2,2,1
1749,3,2,3,3
1750,1,3,2,3
1751,2,1,1,3
1752,1,3,3,2
1753,2,3,3,3
1754,3,2,1,3
1755,1,2,3,1
1756,2,2,3,3
1757,2,2,1,3
1758,2,3,3,1
1759,1,1,2,1
1760,2,3,2,3
1761,1,1,1,3
1762,3,1,3,3
1763,3,2,3,1
1764,1,3,2,3
1765,1,2,2,3
1766,3,1,1,1
1767,3,3,2,2
1768,2,3,1,3
1769,3,2,3,1
1770,2,2,2,1
1771,3,3,3,3
1772,3,2,2,3
1773,1,2,2,1
1774,3,1,3,1
1775,3,3,3,2
1776,3,3,2,1
1777,1,1,1,1
1778,2,2,2,3
1779,3,3,2,3
1780,3,2,2,2
1781,3,1,3,1
1782,1,2,3,3
1783,2,2,2,3
1784,1,3,3,2
1785,1,1,3,2
1786,2,1,1,3
1787,1,3,1,1
1788,3,1,3,2
1789,3,2,3,1
1790,2,3,3,2
1791,1,1,1,2
1792,2,2,3,1
1793,3,3,2,2
1794,1,2,1,1
1795,1,1,3,3
1796,2,3,3,2
1797,3,3,2,2
1798,2,2,2,2
1799,3,2,3,1
1800,3,1,3,1
1801,2,3,3,1
1802,1,2,2,3
1803,1,3,3,1
1804,2,1,3,2
1805,3,1,3,1
1806,2,1,1,1
1807,1,1,3,2
1808,2,1,1,1
1809,3,3,2,1
1810,3,3,2,2
1811,1,1,1,2
1812,2,2,1,3
1813,2,2,1,1
1814,3,1,3,1
1815,3,3,3,3
1816,1,3,2,2
1817,1,2,2,1
1818,1,2,2,1
1819,3,3,2,3
1820,2,2,1,1
1821,3,1,3,2
1822,3,1,1,2
1823,1,2,2,1
1824,1,1,2,2
1825,1,2,2,1
1826,3,3,3,2
1827,2,1,1,2
1828,2,2,2,2
1829,2,1,3,2
1830,2,1,3,1
1831,3,3,1,1
1832,1,3,2,1
1833,1,3,1,1
1834,2,2,1,3
1835,3,3,1,3
1836,2,3,1,1
1837,2,1,1,2
1838,3,3,1,3
1839,2,3,2,3
1840,1,1,2,2
1841,3,1,2,1
1842,2,1,3,2
1843,1,3,2,1
1844,3,1,2,2
1845,2,2,3,2
1846,2,3,1,3
1847,1,1,1,2
1848,3,2,1,1
1849,2,3,2,2
1850,1,1,1,1
1851,1,1,1,2
1852,2,3,2,3
1853,2,3,2,1
1854,3,1,3,1
1855,1,1,3,2
1856,1,1,1,3
1857,3,3,3,3
1858,2,1,1,3
1859,3,2,3,1
1860,3,1,2,1
1861,3,2,1,3
1862,3,3,1,3
1863,3,1,1,1
1864,1,3,2,2
1865,2,1,3,3
1866,1,1,2,2
1867,3,1,1,2
1868,1,2,2,1
1869,2,3,2,3
1870,2,3,3,3
1871,3,1,3,1
1872,2,1,1,1
1873,2,1,2,2
1874,3,2,3,3
1875,1,2,1,1
1876,1,3,1,1
1877,3,3,1,3
1878,1,2,3,2
1879,3,2,3,3
1880,3,1,3,2
1881,3,3,1,1
1882,1,3,3,1
1883,1,3,3,2
1884,2,1,3,3
1885,3,2,3,2
1886,3,1,2,3
1887,3,1,2,1
1888,1,3,1,1
1889,2,1,1,1
1890,1,2,3,2
1891,3,1,1,2
1892,3,1,2,3
1893,1,2,2,2
1894,2,1,3,3
1895,1,2,3,2
1896,3,1,2,2
1897,3,3,3,3
1898,3,2,3,1
1899,1,3,1,3
1900,1,1,2,3
1901,2,2,1,2
1902,1,1,1,1
1903,3,3,1,1
1904,1,1,1,3
1905,2,1,1,3
1906,2,1,2,3
1907,2,3,2,1
1908,2,3,2,2
1909,2,2,2,1
1910,3,1,3,2
1911,3,1,1,3
1912,3,2,2,1
1913,2,1,3,1
1914,1,1,2,3
1915,1,1,3,3
1916,1,1,1,2
1917,1,1,2,2
1918,1,3,3,1
1919,1,3,2,3
1920,3,3,2,3
1921,3,2,3,2
1922,2,2,1,3
1923,3,3,2,2
1924,3,2,1,3
1925,3,3,2,2
1926,1,1,2,3
1927,3,1,3,2
1928,1,1,2,2
1929,1,3,2,1
1930,3,2,1,3
1931,1,3,3,2
1932,2,2,3,2
1933,1,2,1,1
1934,3,1,3,2
1935,2,1,3,3
1936,1,3,1,2
1937,3,3,3,1
1938,3,1,3,3
1939,2,3,1,1
1940,3,1,2,3
1941,3,3,3,1
1942,2,2,2,3
1943,1,3,2,2
1944,2,1,3,1
1945,2,3,3,1
1946,2,2,2,3
1947,1,2,3,1
1948,1,2,1,2
1949,1,1,3,3
1950,1,3,1,3
1951,1,1,2,3
1952,2,1,2,2
1953,1,1,1,2
1954,2,3,2,3
1955,2,1,2,1
1956,1,3,2,3
1957,3,2,1,3
1958,3,3,1,1
1959,1,3,2,3
1960,1,1,1,1
1961,1,2,1,3
1962,1,3,2,2
1963,2,3,3,3
1964,3,1,2,1
1965,2,2,3,2
1966,3,1,2,2
1967,2,1,1,3
1968,2,1,2,2
1969,1,1,1,2
1970,2,3,2,1
1971,2,2,2,3
1972,1,2,3,1
1973,3,1,2,1
1974,3,1,2,2
1975,2,3,3,2
1976,3,1,2,1
1977,2,1,1,2
1978,2,3,1,1
1979,3,2,3,1
1980,3,2,2,3
1981,3,1,3,1
1982,3,2,1,2
1983,3,2,2,3
1984,3,2,2,3
1985,3,3,3,2
1986,3,2,3,1
1987,1,1,3,1
1988,3,1,3,3
1989,1,3,2,3
1990,2,1,2,2
1991,2,3,3,3
1992,1,1,1,1
1993,1,1,1,1
1994,3,1,3,2
1995,3,2,3,2
1996,2,3,1,1
1997,3,1,3,2
1998,1,1,2,2
1999,3,1,3,3
2000,2,3,1,3
2001,3,2,1,3
2002,3,3,2,1
2003,1,3,1,1
2004,1,2,3,1
2005,2,2,2,3
2006,2,1,2,2
2007,2,3,3,1
2008,2,3,1,2
2009,2,2,1,3
2010,2,1,1,3
2011,1,1,1,2
2012,2,2,3,1
2013,2,1,3,3
2014,3,1,3,1
2015,1,1,1,3
2016,3,3,3,3
2017,3,2,3,3
2018,1,1,2,3
2019,2,2,2,3
2020,3,1,2,3
2021,2,1,2,3
2022,1,2,3,1
2023,3,3,1,1
2024,3,2,2,3
2025,1,1,1,1
2026,1,2,3,3
2027,3,1,3,1
2028,3,1,2,1
2029,3,3,2,2
2030,1,2,1,3
2031,2,1,1,1
2032,2,2,2,3
2033,2,2,2,3
2034,2,1,1,2
2035,1,2,2,1
2036,1,3,2,3
2037,2,1,3,1
2038,3,3,1,3
2039,3,2,1,3
2040,1,2,1,3
2041,2,1,3,3
2042,1,2,3,2
2043,2,1,3,3
2044,2,1,3,3
2045,3,3,1,2
2046,3,3,1,1
2047,3,1,2,2
2048,1,2,1,3
2049,3,1,2,3
2050,3,1,3,3
2051,1,2,1,1
2052,1,2,1,2
2053,1,2,2,2
2054,3,1,3,2
2055,2,2,2,2
2056,3,1,3,1
2057,2,2,2,3
2058,1,3,1,3
2059,3,1,1,2
2060,3,3,2,2
2061,2,3,1,2
2062,3,1,3,3
2063,3,3,1,1
2064,3,3,1,3
2065,1,1,3,1
2066,2,1,3,1
2067,3,2,2,2
2068,2,3,2,2
2069,1,2,3,3
2070,1,1,2,2
2071,2,3,1,2
2072,3,2,1,1
2073,3,2,3,2
2074,1,2,1,1
2075,1,1,1,2
2076,1,3,2,1
2077,1,2,2,3
2078,3,3,3,1
2079,1,1,2,3
2080,2,1,2,1
2081,2,2,1,3
2082,2,2,2,2
2083,3,3,1,1
2084,2,1,3,1
2085,2,3,1,1
2086,3,1,2,1
2087,1,3,3,2
2088,1,1,3,2
2089,1,2,1,1
2090,1,1,2,3
2091,1,1,1,3
2092,3,2,2,1
2093,2,3,1,1
2094,1,3,1,2
2095,2,1,2,2
2096,2,2,2,1
2097,2,3,1,3
2098,3,2,3,3
2099,1,2,2,2
2100,3,3,1,2
2101,2,1,2,1
2102,1,2,3,1
2103,1,2,3,2
2104,3,1,3,1
2105,3,1,2,2
2106,2,3,1,1
2107,2,1,1,2
2108,2,3,2,3
2109,2,3,1,1
2110,1,2,2,1
2111,3,1,3,3
2112,3,1,2,3
2113,1,2,3,2
2114,1,2,1,1
2115,3,1,3,3
2116,2,3,2,2
2117,3,1,3,3
2118,3,1,2,1
2119,3,2,3,1
2120,1,3,3,1
2121,1,2,2,1
2122,1,1,1,2
2123,1,3,1,2
2124,1,2,3,3
2125,3,3,1,1
2126,2,3,1,1
2127,1,3,2,1
2128,1,1,1,2
2129,1,2,2,1
2130,3,2,2,2
2131,3,1,3,3
2132,3,3,3,3
2133,2,2,3,2
2134,2,1,3,1
2135,1,2,3,1
2136,1,3,1,3
2137,1,2,1,1
2138,2,3,2,3
2139,1,3,3,1
2140,1,1,3,2
2141,3,3,2,2
2142,2,1,2,2
2143,3,2,2,1
2144,3,3,3,3
2145,3,2,2,2
2146,3,3,1,1
2147,3,1,3,3
2148,3,2,1,3
2149,3,2,3,3
2150,1,2,1,1
2151,2,3,2,2
2152,3,3,1,2
2153,3,3,3,2
2154,2,3,2,2
2155,1,1,2,3
2156,1,3,2,3
2157,2,1,1,1
2158,2,3,1,2
2159,2,2,2,3
2160,2,3,3,3
2161,1,1,3,1
2162,2,3,2,2
2163,3,3,1,3
2164,1,2,2,2
2165,2,1,1,3
2166,2,1,2,1
2167,1,2,1,1
2168,1,2,1,1
2169,3,2,2,1
2170,2,3,2,3
2171,2,1,3,3
2172,3,2,2,1
2173,2,2,2,3
2174,3,1,2,1
2175,1,3,2,3
2176,3,3,3,1
2177,1,3,2,3
2178,3,1,3,3
2179,1,3,2,2
2180,1,3,2,2
2181,3,1,1,2
2182,3,1,2,2
2183,3,2,3,3
2184,3,1,2,3
2185,1,3,1,2
2186,2,1,3,1
2187,3,3,3,1
2188,3,2,3,1
2189,3,3,2,1
2190,3,3,1,1
2191,2,3,1,1
2192,2,1,1,2
2193,3,3,1,3
2194,2,1,1,2
2195,2,2,1,3
2196,3,2,1,3
2197,3,2,2,2
2198,3,3,2,2
2199,2,3,1,3
2200,1,2,3,3
