internship_id,student_id,internship_completed,internship_domain,internship_duration_months
243,1243,Yes,Data Analytics,3
244,1244,Yes,AI/ML,2
245,1245,Yes,Data Analytics,2
246,1246,No,NA,0
247,1247,No,NA,0
248,1248,No,NA,0
249,1249,Yes,Testing,4
250,1250,Yes,Data Analytics,2
251,1251,No,NA,0
252,1252,No,NA,0
253,1253,Yes,Cloud,3
254,1254,Yes,AI/ML,6
255,1255,No,NA,0
256,1256,Yes,Testing,6
257,1257,No,NA,0
258,1258,No,NA,0
259,1259,Yes,Testing,5
260,1260,Yes,Testing,6
261,1261,Yes,AI/ML,5
262,1262,No,NA,0
263,1263,Yes,AI/ML,6
264,1264,Yes,Data Analytics,4
265,1265,Yes,Testing,1
266,1266,Yes,Testing,2
267,1267,Yes,Testing,5
268,1268,Yes,Testing,5
269,1269,Yes,AI/ML,6
270,1270,No,NA,0
271,1271,No,NA,0
272,1272,Yes,Testing,2
273,1273,No,NA,0
274,1274,Yes,Testing,3
275,1275,No,NA,0
276,1276,No,NA,0
277,1277,Yes,Cloud,4
278,1278,Yes,Cloud,4
279,1279,No,NA,0
280,1280,Yes,AI/ML,4
281,1281,No,NA,0
282,1282,No,NA,0
283,1283,Yes,AI/ML,1
284,1284,No,NA,0
285,1285,No,NA,0
286,1286,Yes,Cloud,5
287,1287,Yes,Testing,3
288,1288,No,NA,0
289,1289,No,NA,0
290,1290,No,NA,0
291,1291,No,NA,0
292,1292,No,NA,0
293,1293,No,NA,0
294,1294,No,NA,0
295,1295,Yes,Cloud,2
296,1296,No,NA,0
297,1297,Yes,Testing,2
298,1298,Yes,Data Analytics,5
299,1299,No,NA,0
300,1300,No,NA,0
301,1301,No,NA,0
302,1302,No,NA,0
303,1303,No,NA,0
304,1304,No,NA,0
305,1305,No,NA,0
306,1306,No,NA,0
307,1307,No,NA,0
308,1308,Yes,AI/ML,1
309,1309,Yes,AI/ML,5
310,1310,Yes,Testing,4
311,1311,No,NA,0
312,1312,No,NA,0
313,1313,No,NA,0
314,1314,No,NA,0
315,1315,Yes,AI/ML,4
316,1316,Yes,Testing,4
317,1317,Yes,Cloud,6
318,1318,Yes,Testing,3
319,1319,No,NA,0
320,1320,Yes,Cloud,2
321,1321,Yes,Data Analytics,1
322,1322,Yes,AI/ML,4
323,1323,Yes,Testing,4
324,1324,Yes,AI/ML,3
325,1325,No,NA,0
326,1326,No,NA,0
327,1327,No,NA,0
328,1328,No,NA,0
329,1329,Yes,Data Analytics,6
330,1330,No,NA,0
331,1331,Yes,Cloud,6
332,1332,Yes,AI/ML,6
333,1333,No,NA,0
334,1334,Yes,Testing,4
335,1335,Yes,Data Analytics,1
336,1336,No,NA,0
337,1337,No,NA,0
338,1338,No,NA,0
339,1339,No,NA,0
340,1340,Yes,Testing,3
341,1341,Yes,Testing,2
342,1342,No,NA,0
343,1343,Yes,Data Analytics,4
344,1344,Yes,Testing,2
345,1345,Yes,Testing,2
346,1346,No,NA,0
347,1347,No,NA,0
348,1348,No,NA,0
349,1349,Yes,Testing,1
350,1350,No,NA,0
351,1351,Yes,AI/ML,1
352,1352,No,NA,0
353,1353,Yes,Cloud,1
354,1354,Yes,AI/ML,4
355,1355,Yes,Data Analytics,1
356,1356,No,NA,0
357,1357,Yes,Data Analytics,1
358,1358,Yes,Data Analytics,4
359,1359,No,NA,0
360,1360,No,NA,0
361,1361,No,NA,0
362,1362,No,NA,0
363,1363,No,NA,0
364,1364,No,NA,0
365,1365,No,NA,0
366,1366,No,NA,0
367,1367,No,NA,0
368,1368,Yes,Cloud,6
369,1369,No,NA,0
370,1370,No,NA,0
371,1371,Yes,Cloud,3
372,1372,Yes,Data Analytics,4
373,1373,No,NA,0
374,1374,Yes,Data Analytics,5
375,1375,Yes,Cloud,6
376,1376,Yes,Cloud,4
377,1377,No,NA,0
378,1378,No,NA,0
379,1379,Yes,Data Analytics,6
380,1380,No,NA,0
381,1381,Yes,Cloud,1
382,1382,No,NA,0
383,1383,No,NA,0
384,1384,Yes,AI/ML,4
385,1385,Yes,Cloud,4
386,1386,No,NA,0
387,1387,Yes,AI/ML,3
388,1388,Yes,Testing,5
389,1389,Yes,Testing,4
390,1390,Yes,Cloud,6
391,1391,No,NA,0
392,1392,Yes,AI/ML,1
393,1393,No,NA,0
394,1394,Yes,Testing,2
395,1395,Yes,Data Analytics,1
396,1396,No,NA,0
397,1397,Yes,Testing,3
398,1398,No,NA,0
399,1399,No,NA,0
400,1400,Yes,Cloud,6
401,1401,No,NA,0
402,1402,Yes,Testing,5
403,1403,No,NA,0
404,1404,Yes,Cloud,2
405,1405,Yes,Cloud,4
406,1406,No,NA,0
407,1407,No,NA,0
408,1408,Yes,Testing,3
409,1409,Yes,Cloud,1
410,1410,Yes,Data Analytics,3
411,1411,Yes,Data Analytics,5
412,1412,No,NA,0
413,1413,Yes,Cloud,4
414,1414,Yes,Cloud,1
415,1415,Yes,AI/ML,4
416,1416,No,NA,0
417,1417,No,NA,0
418,1418,Yes,Testing,1
419,1419,No,NA,0
420,1420,Yes,AI/ML,3
421,1421,Yes,Cloud,2
422,1422,No,NA,0
423,1423,No,NA,0
424,1424,Yes,Cloud,2
425,1425,Yes,Cloud,3
426,1426,Yes,Cloud,6
427,1427,No,NA,0
428,1428,Yes,AI/ML,3
429,1429,No,NA,0
430,1430,Yes,Cloud,2
431,1431,Yes,Testing,6
432,1432,Yes,Testing,4
433,1433,No,NA,0
434,1434,No,NA,0
435,1435,Yes,Data Analytics,5
436,1436,No,NA,0
437,1437,No,NA,0
438,1438,No,NA,0
439,1439,No,NA,0
440,1440,No,NA,0
441,1441,No,NA,0
442,1442,No,NA,0
443,1443,Yes,Cloud,3
444,1444,Yes,AI/ML,1
445,1445,Yes,Cloud,5
446,1446,Yes,Cloud,4
447,1447,Yes,Testing,4
448,1448,No,NA,0
449,1449,No,NA,0
450,1450,Yes,Testing,2
451,1451,Yes,Data Analytics,3
452,1452,Yes,Testing,4
453,1453,No,NA,0
454,1454,Yes,Data Analytics,1
455,1455,No,NA,0
456,1456,No,NA,0
457,1457,Yes,Data Analytics,1
458,1458,No,NA,0
459,1459,No,NA,0
460,1460,Yes,AI/ML,2
461,1461,Yes,Data Analytics,2
462,1462,No,NA,0
463,1463,No,NA,0
464,1464,No,NA,0
465,1465,Yes,AI/ML,6
466,1466,Yes,AI/ML,6
467,1467,No,NA,0
468,1468,No,NA,0
469,1469,No,NA,0
470,1470,No,NA,0
471,1471,Yes,Data Analytics,1
472,1472,Yes,Data Analytics,4
473,1473,Yes,Data Analytics,5
474,1474,No,NA,0
475,1475,No,NA,0
476,1476,Yes,Testing,4
477,1477,No,NA,0
478,1478,No,NA,0
479,1479,No,NA,0
480,1480,Yes,Data Analytics,3
481,1481,Yes,Testing,4
482,1482,Yes,AI/ML,5
483,1483,No,NA,0
484,1484,Yes,Data Analytics,2
485,1485,Yes,Testing,5
486,1486,Yes,Data Analytics,5
487,1487,No,NA,0
488,1488,No,NA,0
489,1489,Yes,Data Analytics,2
490,1490,Yes,Testing,1
491,1491,No,NA,0
492,1492,Yes,Data Analytics,1
493,1493,No,NA,0
494,1494,No,NA,0
495,1495,Yes,AI/ML,6
496,1496,Yes,Testing,3
497,1497,Yes,Cloud,6
498,1498,No,NA,0
499,1499,Yes,AI/ML,6
500,1500,No,NA,0
501,1501,No,NA,0
502,1502,Yes,Data Analytics,6
503,1503,Yes,Testing,1
504,1504,Yes,Testing,3
505,1505,Yes,Testing,5
506,1506,Yes,Cloud,3
507,1507,Yes,AI/ML,1
508,1508,No,NA,0
509,1509,No,NA,0
510,1510,No,NA,0
511,1511,Yes,AI/ML,4
512,1512,Yes,Cloud,6
513,1513,No,NA,0
514,1514,Yes,Testing,1
515,1515,No,NA,0
516,1516,Yes,Cloud,5
517,1517,Yes,AI/ML,2
518,1518,No,NA,0
519,1519,No,NA,0
520,1520,No,NA,0
521,1521,Yes,Testing,1
522,1522,No,NA,0
523,1523,Yes,Data Analytics,6
524,1524,No,NA,0
525,1525,Yes,Cloud,6
526,1526,Yes,Cloud,3
527,1527,No,NA,0
528,1528,Yes,Testing,3
529,1529,Yes,Data Analytics,4
530,1530,Yes,AI/ML,1
531,1531,Yes,Testing,5
532,1532,No,NA,0
533,1533,No,NA,0
534,1534,Yes,Cloud,6
535,1535,No,NA,0
536,1536,No,NA,0
537,1537,Yes,Data Analytics,2
538,1538,No,NA,0
539,1539,No,NA,0
540,1540,Yes,Cloud,6
541,1541,No,NA,0
542,1542,No,NA,0
543,1543,Yes,Cloud,1
544,1544,Yes,Testing,2
545,1545,No,NA,0
546,1546,No,NA,0
547,1547,Yes,Cloud,6
548,1548,Yes,AI/ML,6
549,1549,No,NA,0
550,1550,Yes,AI/ML,3
551,1551,No,NA,0
552,1552,No,NA,0
553,1553,No,NA,0
554,1554,No,NA,0
555,1555,Yes,Cloud,6
556,1556,Yes,Cloud,4
557,1557,No,NA,0
558,1558,Yes,Data Analytics,1
559,1559,Yes,Data Analytics,2
560,1560,Yes,Data Analytics,6
561,1561,No,NA,0
562,1562,No,NA,0
563,1563,Yes,AI/ML,6
564,1564,Yes,AI/ML,4
565,1565,Yes,AI/ML,1
566,1566,Yes,Data Analytics,6
567,1567,No,NA,0
568,1568,No,NA,0
569,1569,Yes,Data Analytics,5
570,1570,No,NA,0
571,1571,Yes,Testing,2
572,1572,Yes,Cloud,2
573,1573,No,NA,0
574,1574,Yes,AI/ML,4
575,1575,No,NA,0
576,1576,Yes,Cloud,1
577,1577,No,NA,0
578,1578,Yes,Data Analytics,3
579,1579,No,NA,0
580,1580,No,NA,0
581,1581,No,NA,0
582,1582,No,NA,0
583,1583,Yes,Data Analytics,6
584,1584,No,NA,0
585,1585,Yes,Cloud,6
586,1586,Yes,AI/ML,5
587,1587,No,NA,0
588,1588,Yes,Cloud,1
589,1589,No,NA,0
590,1590,No,NA,0
591,1591,No,NA,0
592,1592,No,NA,0
593,1593,Yes,Data Analytics,3
594,1594,Yes,AI/ML,3
595,1595,Yes,Data Analytics,4
596,1596,No,NA,0
597,1597,Yes,Data Analytics,5
598,1598,Yes,AI/ML,1
599,1599,No,NA,0
600,1600,Yes,Testing,6
601,1601,No,NA,0
602,1602,Yes,AI/ML,4
603,1603,No,NA,0
604,1604,No,NA,0
605,1605,No,NA,0
606,1606,No,NA,0
607,1607,Yes,Cloud,1
608,1608,No,NA,0
609,1609,No,NA,0
610,1610,Yes,Testing,3
611,1611,No,NA,0
612,1612,Yes,Cloud,6
613,1613,Yes,Data Analytics,2
614,1614,No,NA,0
615,1615,Yes,Testing,4
616,1616,No,NA,0
617,1617,No,NA,0
618,1618,Yes,Testing,6
619,1619,Yes,AI/ML,6
620,1620,No,NA,0
621,1621,Yes,AI/ML,4
622,1622,No,NA,0
623,1623,Yes,Cloud,4
624,1624,No,NA,0
625,1625,Yes,Data Analytics,1
626,1626,Yes,Testing,2
627,1627,No,NA,0
628,1628,Yes,Testing,1
629,1629,No,NA,0
630,1630,No,NA,0
631,1631,Yes,AI/ML,4
632,1632,No,NA,0
633,1633,No,NA,0
634,1634,No,NA,0
635,1635,Yes,AI/ML,2
636,1636,Yes,Testing,2
637,1637,No,NA,0
638,1638,Yes,Cloud,6
639,1639,Yes,AI/ML,2
640,1640,No,NA,0
641,1641,Yes,Testing,2
642,1642,Yes,Testing,1
643,1643,Yes,AI/ML,1
644,1644,No,NA,0
645,1645,Yes,Testing,4
646,1646,Yes,Testing,1
647,1647,Yes,AI/ML,4
648,1648,No,NA,0
649,1649,Yes,Testing,3
650,1650,No,NA,0
651,1651,No,NA,0
652,1652,Yes,AI/ML,6
653,1653,Yes,Cloud,1
654,1654,No,NA,0
655,1655,No,NA,0
656,1656,No,NA,0
657,1657,No,NA,0
658,1658,No,NA,0
659,1659,Yes,Cloud,1
660,1660,Yes,Data Analytics,1
661,1661,Yes,Cloud,2
662,1662,No,NA,0
663,1663,No,NA,0
664,1664,No,NA,0
665,1665,Yes,AI/ML,2
666,1666,No,NA,0
667,1667,No,NA,0
668,1668,No,NA,0
669,1669,No,NA,0
670,1670,No,NA,0
671,1671,Yes,Data Analytics,6
672,1672,Yes,Testing,3
673,1673,No,NA,0
674,1674,No,NA,0
675,1675,No,NA,0
676,1676,Yes,Cloud,2
677,1677,No,NA,0
678,1678,Yes,Data Analytics,2
679,1679,Yes,Data Analytics,5
680,1680,Yes,Testing,6
681,1681,No,NA,0
682,1682,Yes,Data Analytics,5
683,1683,No,NA,0
684,1684,No,NA,0
685,1685,No,NA,0
686,1686,Yes,Testing,1
687,1687,Yes,Testing,4
688,1688,No,NA,0
689,1689,No,NA,0
690,1690,No,NA,0
691,1691,No,NA,0
692,1692,Yes,AI/ML,1
693,1693,No,NA,0
694,1694,No,NA,0
695,1695,Yes,Testing,5
696,1696,No,NA,0
697,1697,Yes,Cloud,1
698,1698,Yes,Testing,6
699,1699,No,NA,0
700,1700,No,NA,0
701,1701,Yes,Testing,4
702,1702,No,NA,0
703,1703,No,NA,0
704,1704,No,NA,0
705,1705,No,NA,0
706,1706,Yes,Testing,1
707,1707,Yes,Testing,5
708,1708,Yes,AI/ML,5
709,1709,No,NA,0
710,1710,No,NA,0
711,1711,Yes,Cloud,6
712,1712,No,NA,0
713,1713,Yes,Testing,2
714,1714,Yes,Testing,3
715,1715,Yes,Testing,3
716,1716,Yes,Cloud,1
717,1717,Yes,Testing,5
718,1718,Yes,Data Analytics,6
719,1719,No,NA,0
720,1720,No,NA,0
721,1721,No,NA,0
722,1722,Yes,Cloud,6
723,1723,Yes,AI/ML,5
724,1724,No,NA,0
725,1725,No,NA,0
726,1726,Yes,Data Analytics,3
727,1727,Yes,Cloud,2
728,1728,No,NA,0
729,1729,Yes,Data Analytics,6
730,1730,No,NA,0
731,1731,No,NA,0
732,1732,Yes,AI/ML,2
733,1733,No,NA,0
734,1734,No,NA,0
735,1735,Yes,AI/ML,2
736,1736,No,NA,0
737,1737,Yes,AI/ML,3
738,1738,Yes,AI/ML,1
739,1739,No,NA,0
740,1740,Yes,AI/ML,2
741,1741,Yes,Testing,5
742,1742,No,NA,0
743,1743,Yes,Cloud,1
744,1744,No,NA,0
745,1745,Yes,Testing,4
746,1746,Yes,Data Analytics,2
747,1747,Yes,AI/ML,2
748,1748,No,NA,0
749,1749,No,NA,0
750,1750,Yes,Testing,6
751,1751,Yes,Data Analytics,4
752,1752,No,NA,0
753,1753,Yes,Data Analytics,1
754,1754,Yes,Testing,2
755,1755,Yes,Cloud,2
756,1756,Yes,Data Analytics,1
757,1757,No,NA,0
758,1758,Yes,Testing,2
759,1759,No,NA,0
760,1760,No,NA,0
761,1761,Yes,Cloud,3
762,1762,No,NA,0
763,1763,Yes,Testing,1
764,1764,No,NA,0
765,1765,Yes,Data Analytics,1
766,1766,Yes,Cloud,1
767,1767,No,NA,0
768,1768,Yes,Data Analytics,2
769,1769,Yes,Testing,4
770,1770,No,NA,0
771,1771,Yes,Cloud,6
772,1772,No,NA,0
773,1773,Yes,AI/ML,6
774,1774,Yes,AI/ML,2
775,1775,Yes,Testing,1
776,1776,No,NA,0
777,1777,No,NA,0
778,1778,Yes,Cloud,1
779,1779,No,NA,0
780,1780,Yes,Data Analytics,5
781,1781,Yes,Testing,4
782,1782,No,NA,0
783,1783,Yes,AI/ML,2
784,1784,No,NA,0
785,1785,No,NA,0
786,1786,No,NA,0
787,1787,Yes,Cloud,4
788,1788,No,NA,0
789,1789,No,NA,0
790,1790,Yes,Data Analytics,2
791,1791,Yes,Cloud,2
792,1792,No,NA,0
793,1793,No,NA,0
794,1794,No,NA,0
795,1795,Yes,Data Analytics,5
796,1796,No,NA,0
797,1797,No,NA,0
798,1798,Yes,Data Analytics,3
799,1799,Yes,Testing,4
800,1800,No,NA,0
801,1801,No,NA,0
802,1802,No,NA,0
803,1803,No,NA,0
804,1804,No,NA,0
805,1805,No,NA,0
806,1806,No,NA,0
807,1807,Yes,Testing,4
808,1808,No,NA,0
809,1809,No,NA,0
810,1810,No,NA,0
811,1811,Yes,AI/ML,1
812,1812,No,NA,0
813,1813,Yes,Data Analytics,2
814,1814,No,NA,0
815,1815,Yes,Testing,1
816,1816,No,NA,0
817,1817,No,NA,0
818,1818,Yes,Data Analytics,1
819,1819,No,NA,0
820,1820,No,NA,0
821,1821,Yes,Cloud,4
822,1822,Yes,AI/ML,2
823,1823,Yes,Testing,1
824,1824,Yes,Data Analytics,6
825,1825,Yes,AI/ML,6
826,1826,Yes,AI/ML,3
827,1827,Yes,Data Analytics,6
828,1828,Yes,AI/ML,5
829,1829,Yes,Data Analytics,2
830,1830,No,NA,0
831,1831,Yes,Data Analytics,2
832,1832,Yes,Data Analytics,5
833,1833,No,NA,0
834,1834,Yes,Testing,4
835,1835,Yes,Cloud,4
836,1836,No,NA,0
837,1837,No,NA,0
838,1838,No,NA,0
839,1839,Yes,Cloud,1
840,1840,Yes,Data Analytics,6
841,1841,Yes,Testing,5
842,1842,Yes,Data Analytics,4
843,1843,No,NA,0
844,1844,No,NA,0
845,1845,No,NA,0
846,1846,No,NA,0
847,1847,Yes,AI/ML,2
848,1848,No,NA,0
849,1849,Yes,AI/ML,2
850,1850,Yes,AI/ML,5
851,1851,Yes,Testing,4
852,1852,Yes,Data Analytics,6
853,1853,No,NA,0
854,1854,No,NA,0
855,1855,No,NA,0
856,1856,No,NA,0
857,1857,No,NA,0
858,1858,Yes,Data Analytics,3
859,1859,No,NA,0
860,1860,Yes,Cloud,1
861,1861,Yes,Data Analytics,3
862,1862,No,NA,0
863,1863,Yes,Testing,3
864,1864,Yes,Data Analytics,1
865,1865,Yes,Data Analytics,3
866,1866,Yes,Testing,6
867,1867,Yes,Testing,3
868,1868,Yes,Data Analytics,5
869,1869,No,NA,0
870,1870,Yes,Data Analytics,3
871,1871,Yes,Cloud,1
872,1872,No,NA,0
873,1873,No,NA,0
874,1874,No,NA,0
875,1875,Yes,Cloud,4
876,1876,No,NA,0
877,1877,Yes,Data Analytics,3
878,1878,No,NA,0
879,1879,Yes,Testing,1
880,1880,No,NA,0
881,1881,No,NA,0
882,1882,Yes,Cloud,2
883,1883,Yes,AI/ML,1
884,1884,Yes,Testing,2
885,1885,Yes,Testing,5
886,1886,No,NA,0
887,1887,No,NA,0
888,1888,Yes,Cloud,3
889,1889,No,NA,0
890,1890,No,NA,0
891,1891,Yes,AI/ML,2
892,1892,Yes,Data Analytics,2
893,1893,No,NA,0
894,1894,Yes,Data Analytics,2
895,1895,No,NA,0
896,1896,Yes,AI/ML,1
897,1897,No,NA,0
898,1898,No,NA,0
899,1899,Yes,Cloud,2
900,1900,Yes,Cloud,5
901,1901,No,NA,0
902,1902,No,NA,0
903,1903,Yes,Data Analytics,2
904,1904,No,NA,0
905,1905,No,NA,0
906,1906,No,NA,0
907,1907,No,NA,0
908,1908,No,NA,0
909,1909,Yes,Data Analytics,5
910,1910,No,NA,0
911,1911,Yes,Cloud,3
912,1912,No,NA,0
913,1913,No,NA,0
914,1914,Yes,AI/ML,3
915,1915,No,NA,0
916,1916,No,NA,0
917,1917,Yes,AI/ML,5
918,1918,No,NA,0
919,1919,No,NA,0
920,1920,Yes,Data Analytics,6
921,1921,Yes,Data Analytics,2
922,1922,Yes,Cloud,4
923,1923,Yes,AI/ML,1
924,1924,Yes,AI/ML,4
925,1925,Yes,Cloud,4
926,1926,No,NA,0
927,1927,No,NA,0
928,1928,Yes,Data Analytics,2
929,1929,Yes,AI/ML,4
930,1930,Yes,AI/ML,3
931,1931,Yes,Cloud,3
932,1932,No,NA,0
933,1933,Yes,AI/ML,1
934,1934,No,NA,0
935,1935,No,NA,0
936,1936,Yes,Testing,4
937,1937,Yes,Testing,3
938,1938,Yes,AI/ML,1
939,1939,No,NA,0
940,1940,No,NA,0
941,1941,No,NA,0
942,1942,Yes,Data Analytics,2
943,1943,Yes,AI/ML,3
944,1944,No,NA,0
945,1945,Yes,Data Analytics,2
946,1946,Yes,Cloud,4
947,1947,Yes,Cloud,6
948,1948,No,NA,0
949,1949,No,NA,0
950,1950,Yes,Cloud,2
951,1951,Yes,Data Analytics,4
952,1952,No,NA,0
953,1953,No,NA,0
954,1954,Yes,Testing,3
955,1955,No,NA,0
956,1956,No,NA,0
957,1957,No,NA,0
958,1958,Yes,AI/ML,3
959,1959,No,NA,0
960,1960,Yes,Testing,1
961,1961,Yes,Cloud,6
962,1962,No,NA,0
963,1963,Yes,Testing,4
964,1964,Yes,AI/ML,3
965,1965,Yes,AI/ML,3
966,1966,Yes,AI/ML,2
967,1967,No,NA,0
968,1968,Yes,Data Analytics,2
969,1969,Yes,AI/ML,6
970,1970,Yes,AI/ML,2
971,1971,No,NA,0
972,1972,Yes,Testing,6
973,1973,Yes,Cloud,3
974,1974,Yes,Cloud,3
975,1975,Yes,AI/ML,6
976,1976,No,NA,0
977,1977,No,NA,0
978,1978,No,NA,0
979,1979,No,NA,0
